# source: EDGAR-2025
# description: Data from {{source}} extrapolated to 2025.
variable,year,region,unit,value
Emissions|CH4|AFOLU|Agriculture,2025,ABW,Mt CH4/yr,5.2365589278382e-05
Emissions|CH4|AFOLU|Agriculture,2025,AFG,Mt CH4/yr,0.4458310708379288
Emissions|CH4|AFOLU|Agriculture,2025,AGO,Mt CH4/yr,0.2588512067654023
Emissions|CH4|AFOLU|Agriculture,2025,ALB,Mt CH4/yr,0.0382183906489341
Emissions|CH4|AFOLU|Agriculture,2025,ARE,Mt CH4/yr,0.058265980743506
Emissions|CH4|AFOLU|Agriculture,2025,ARG,Mt CH4/yr,3.763647066716954
Emissions|CH4|AFOLU|Agriculture,2025,ARM,Mt CH4/yr,0.0451115294566592
Emissions|CH4|AFOLU|Agriculture,2025,ASM,Mt CH4/yr,0.0001443401496222786
Emissions|CH4|AFOLU|Agriculture,2025,ATG,Mt CH4/yr,0.0004479371073413081
Emissions|CH4|AFOLU|Agriculture,2025,AUS,Mt CH4/yr,3.0250339536055706
Emissions|CH4|AFOLU|Agriculture,2025,AUT,Mt CH4/yr,0.186008087643629
Emissions|CH4|AFOLU|Agriculture,2025,AZE,Mt CH4/yr,0.2512315348905405
Emissions|CH4|AFOLU|Agriculture,2025,BDI,Mt CH4/yr,0.1036673098020679
Emissions|CH4|AFOLU|Agriculture,2025,BEL,Mt CH4/yr,0.2362739422408577
Emissions|CH4|AFOLU|Agriculture,2025,BEN,Mt CH4/yr,0.1345201070306549
Emissions|CH4|AFOLU|Agriculture,2025,BFA,Mt CH4/yr,0.5140841500507344
Emissions|CH4|AFOLU|Agriculture,2025,BGD,Mt CH4/yr,1.6930674405032011
Emissions|CH4|AFOLU|Agriculture,2025,BGR,Mt CH4/yr,0.0731637852645699
Emissions|CH4|AFOLU|Agriculture,2025,BHR,Mt CH4/yr,0.0009535398048652804
Emissions|CH4|AFOLU|Agriculture,2025,BHS,Mt CH4/yr,0.000222361610857368
Emissions|CH4|AFOLU|Agriculture,2025,BIH,Mt CH4/yr,0.0371340370335496
Emissions|CH4|AFOLU|Agriculture,2025,BLR,Mt CH4/yr,0.4373092416734896
Emissions|CH4|AFOLU|Agriculture,2025,BLZ,Mt CH4/yr,0.0073118093543155
Emissions|CH4|AFOLU|Agriculture,2025,BMU,Mt CH4/yr,7.615123535266444e-05
Emissions|CH4|AFOLU|Agriculture,2025,BOL,Mt CH4/yr,0.7771874466220421
Emissions|CH4|AFOLU|Agriculture,2025,BRA,Mt CH4/yr,16.85040016499847
Emissions|CH4|AFOLU|Agriculture,2025,BRB,Mt CH4/yr,0.000994770076404694
Emissions|CH4|AFOLU|Agriculture,2025,BRN,Mt CH4/yr,0.000758677947036555
Emissions|CH4|AFOLU|Agriculture,2025,BTN,Mt CH4/yr,0.0121478677495553
Emissions|CH4|AFOLU|Agriculture,2025,BWA,Mt CH4/yr,0.0539217251672021
Emissions|CH4|AFOLU|Agriculture,2025,CAF,Mt CH4/yr,0.2303759408686841
Emissions|CH4|AFOLU|Agriculture,2025,CAN,Mt CH4/yr,1.0903036829482329
Emissions|CH4|AFOLU|Agriculture,2025,CHE,Mt CH4/yr,0.1447424290086366
Emissions|CH4|AFOLU|Agriculture,2025,CHL,Mt CH4/yr,0.2373756820060344
Emissions|CH4|AFOLU|Agriculture,2025,CHN,Mt CH4/yr,17.820847645990938
Emissions|CH4|AFOLU|Agriculture,2025,CIV,Mt CH4/yr,0.1386341858636117
Emissions|CH4|AFOLU|Agriculture,2025,CMR,Mt CH4/yr,0.2658899303722269
Emissions|CH4|AFOLU|Agriculture,2025,COD,Mt CH4/yr,0.1251108037627639
Emissions|CH4|AFOLU|Agriculture,2025,COG,Mt CH4/yr,0.0164432424084332
Emissions|CH4|AFOLU|Agriculture,2025,COK,Mt CH4/yr,0.00010978038964534052
Emissions|CH4|AFOLU|Agriculture,2025,COL,Mt CH4/yr,2.102113484083404
Emissions|CH4|AFOLU|Agriculture,2025,COM,Mt CH4/yr,0.0025899469883636
Emissions|CH4|AFOLU|Agriculture,2025,CPV,Mt CH4/yr,0.0025820319319093
Emissions|CH4|AFOLU|Agriculture,2025,CRI,Mt CH4/yr,0.1565372824273891
Emissions|CH4|AFOLU|Agriculture,2025,CUB,Mt CH4/yr,0.2293605038692723
Emissions|CH4|AFOLU|Agriculture,2025,CYM,Mt CH4/yr,0.00015690479842931995
Emissions|CH4|AFOLU|Agriculture,2025,CYP,Mt CH4/yr,0.0164186215812767
Emissions|CH4|AFOLU|Agriculture,2025,CZE,Mt CH4/yr,0.1803814844416018
Emissions|CH4|AFOLU|Agriculture,2025,DEU,Mt CH4/yr,1.2131842792480991
Emissions|CH4|AFOLU|Agriculture,2025,DJI,Mt CH4/yr,0.01866906760336
Emissions|CH4|AFOLU|Agriculture,2025,DMA,Mt CH4/yr,0.0009720844558226286
Emissions|CH4|AFOLU|Agriculture,2025,DNK,Mt CH4/yr,0.2264159873993224
Emissions|CH4|AFOLU|Agriculture,2025,DOM,Mt CH4/yr,0.2393770912343021
Emissions|CH4|AFOLU|Agriculture,2025,DZA,Mt CH4/yr,0.3191445940323884
Emissions|CH4|AFOLU|Agriculture,2025,ECU,Mt CH4/yr,0.3014451920400912
Emissions|CH4|AFOLU|Agriculture,2025,EGY,Mt CH4/yr,0.4784110609056809
Emissions|CH4|AFOLU|Agriculture,2025,ERI,Mt CH4/yr,0.1124771515310363
Emissions|CH4|AFOLU|Agriculture,2025,ESH,Mt CH4/yr,0.0072952510662696
Emissions|CH4|AFOLU|Agriculture,2025,ESP,Mt CH4/yr,0.9760779944304672
Emissions|CH4|AFOLU|Agriculture,2025,EST,Mt CH4/yr,0.0300164774255506
Emissions|CH4|AFOLU|Agriculture,2025,ETH,Mt CH4/yr,3.1110746207703603
Emissions|CH4|AFOLU|Agriculture,2025,FIN,Mt CH4/yr,0.0841116455907512
Emissions|CH4|AFOLU|Agriculture,2025,FJI,Mt CH4/yr,0.0143015054389211
Emissions|CH4|AFOLU|Agriculture,2025,FLK,Mt CH4/yr,0.0040562804183628
Emissions|CH4|AFOLU|Agriculture,2025,FRA,Mt CH4/yr,1.5089822653208178
Emissions|CH4|AFOLU|Agriculture,2025,FRO,Mt CH4/yr,0.0007603170029993028
Emissions|CH4|AFOLU|Agriculture,2025,FSM,Mt CH4/yr,0.001433077935127
Emissions|CH4|AFOLU|Agriculture,2025,GAB,Mt CH4/yr,0.0040432109768326
Emissions|CH4|AFOLU|Agriculture,2025,GBR,Mt CH4/yr,1.1267018046886843
