# source: EDGAR-2025
# description: Based on {{source}}.
variable,year,region,unit,value
Emissions|CH4|AFOLU|Agriculture,2010,ABW,Mt CH4/yr,5.1280866455724e-05
Emissions|CH4|AFOLU|Agriculture,2010,AFG,Mt CH4/yr,0.4875524756732085
Emissions|CH4|AFOLU|Agriculture,2010,AGO,Mt CH4/yr,0.2173114858396752
Emissions|CH4|AFOLU|Agriculture,2010,ALB,Mt CH4/yr,0.0666706296423093
Emissions|CH4|AFOLU|Agriculture,2010,ARE,Mt CH4/yr,0.0399206863138754
Emissions|CH4|AFOLU|Agriculture,2010,ARG,Mt CH4/yr,3.4871977213389327
Emissions|CH4|AFOLU|Agriculture,2010,ARM,Mt CH4/yr,0.0489012867143714
Emissions|CH4|AFOLU|Agriculture,2010,ASM,Mt CH4/yr,0.000142757198221
Emissions|CH4|AFOLU|Agriculture,2010,ATG,Mt CH4/yr,0.0005644777323475421
Emissions|CH4|AFOLU|Agriculture,2010,AUS,Mt CH4/yr,2.7111020435621684
Emissions|CH4|AFOLU|Agriculture,2010,AUT,Mt CH4/yr,0.1980393515235879
Emissions|CH4|AFOLU|Agriculture,2010,AZE,Mt CH4/yr,0.2657955285888155
Emissions|CH4|AFOLU|Agriculture,2010,BDI,Mt CH4/yr,0.0429599545438163
Emissions|CH4|AFOLU|Agriculture,2010,BEL,Mt CH4/yr,0.2643724046017424
Emissions|CH4|AFOLU|Agriculture,2010,BEN,Mt CH4/yr,0.0838773689985329
Emissions|CH4|AFOLU|Agriculture,2010,BFA,Mt CH4/yr,0.4278024834772359
Emissions|CH4|AFOLU|Agriculture,2010,BGD,Mt CH4/yr,1.771298796594908
Emissions|CH4|AFOLU|Agriculture,2010,BGR,Mt CH4/yr,0.0791748637737101
Emissions|CH4|AFOLU|Agriculture,2010,BHR,Mt CH4/yr,0.0008453051271953017
Emissions|CH4|AFOLU|Agriculture,2010,BHS,Mt CH4/yr,0.000212937887661911
Emissions|CH4|AFOLU|Agriculture,2010,BIH,Mt CH4/yr,0.0579156166394882
Emissions|CH4|AFOLU|Agriculture,2010,BLR,Mt CH4/yr,0.4016640618404662
Emissions|CH4|AFOLU|Agriculture,2010,BLZ,Mt CH4/yr,0.0065685415646599
Emissions|CH4|AFOLU|Agriculture,2010,BMU,Mt CH4/yr,7.640786639680001e-05
Emissions|CH4|AFOLU|Agriculture,2010,BOL,Mt CH4/yr,0.5869575685062856
Emissions|CH4|AFOLU|Agriculture,2010,BRA,Mt CH4/yr,14.85202933502699
Emissions|CH4|AFOLU|Agriculture,2010,BRB,Mt CH4/yr,0.0010291864850564
Emissions|CH4|AFOLU|Agriculture,2010,BRN,Mt CH4/yr,0.0008439774033861077
Emissions|CH4|AFOLU|Agriculture,2010,BTN,Mt CH4/yr,0.0156101785548473
Emissions|CH4|AFOLU|Agriculture,2010,BWA,Mt CH4/yr,0.134081698929945
Emissions|CH4|AFOLU|Agriculture,2010,CAF,Mt CH4/yr,0.1793073618798878
