# source: EI-2023
# description: Data from {{source}} linearly extrapolated to 2025.
variable,year,region,unit,value
Primary Energy|Coal,2025,ABW,EJ/yr,0.0002
Primary Energy|Coal,2025,AFG,EJ/yr,0.15209999999999996
Primary Energy|Coal,2025,AGO,EJ/yr,0.017299999999999996
Primary Energy|Coal,2025,AIA,EJ/yr,0.0
Primary Energy|Coal,2025,ALA,EJ/yr,0.0
Primary Energy|Coal,2025,ALB,EJ/yr,0.028399999999999995
Primary Energy|Coal,2025,AND,EJ/yr,0.0
Primary Energy|Coal,2025,ARE,EJ/yr,0.1061
Primary Energy|Coal,2025,ARG,EJ/yr,0.031100000000000003
Primary Energy|Coal,2025,ARM,EJ/yr,0.022200000000000004
Primary Energy|Coal,2025,ASM,EJ/yr,0.0
Primary Energy|Coal,2025,ATA,EJ/yr,0.0
Primary Energy|Coal,2025,ATF,EJ/yr,0.0
Primary Energy|Coal,2025,ATG,EJ/yr,0.0001
Primary Energy|Coal,2025,AUS,EJ/yr,1.4364
Primary Energy|Coal,2025,AUT,EJ/yr,0.0827
Primary Energy|Coal,2025,AZE,EJ/yr,0.0
Primary Energy|Coal,2025,BDI,EJ/yr,0.003799999999999999
Primary Energy|Coal,2025,BEL,EJ/yr,0.06399999999999997
Primary Energy|Coal,2025,BEN,EJ/yr,0.0049
Primary Energy|Coal,2025,BES,EJ/yr,0.0
Primary Energy|Coal,2025,BFA,EJ/yr,0.0071
Primary Energy|Coal,2025,BGD,EJ/yr,0.4466
Primary Energy|Coal,2025,BGR,EJ/yr,-0.041899999999999965
Primary Energy|Coal,2025,BHR,EJ/yr,0.0284
Primary Energy|Coal,2025,BHS,EJ/yr,0.0009000000000000001
Primary Energy|Coal,2025,BIH,EJ/yr,0.09620000000000002
Primary Energy|Coal,2025,BLM,EJ/yr,0.0
Primary Energy|Coal,2025,BLR,EJ/yr,0.043100000000000006
Primary Energy|Coal,2025,BLZ,EJ/yr,0.0003
Primary Energy|Coal,2025,BMU,EJ/yr,0.0
Primary Energy|Coal,2025,BOL,EJ/yr,0.015700000000000002
Primary Energy|Coal,2025,BRA,EJ/yr,0.5468999999999999
Primary Energy|Coal,2025,BRB,EJ/yr,0.0006000000000000001
Primary Energy|Coal,2025,BRN,EJ/yr,0.05309999999999999
Primary Energy|Coal,2025,BTN,EJ/yr,0.0052
Primary Energy|Coal,2025,BVT,EJ/yr,0.0
Primary Energy|Coal,2025,BWA,EJ/yr,0.0032
Primary Energy|Coal,2025,CAF,EJ/yr,0.0018999999999999996
Primary Energy|Coal,2025,CAN,EJ/yr,0.3418999999999999
Primary Energy|Coal,2025,CCK,EJ/yr,0.0
Primary Energy|Coal,2025,CHE,EJ/yr,0.0038
Primary Energy|Coal,2025,CHL,EJ/yr,0.04980000000000004
Primary Energy|Coal,2025,CHN,EJ/yr,100.1521
