# source: EI-2023
# description: Based on {{source}}.
variable,year,region,unit,value
Primary Energy|Coal,2010,ABW,EJ/yr,0.0001
Primary Energy|Coal,2010,AFG,EJ/yr,0.0862
Primary Energy|Coal,2010,AGO,EJ/yr,0.0062
Primary Energy|Coal,2010,AIA,EJ/yr,0.0
Primary Energy|Coal,2010,ALA,EJ/yr,0.0
Primary Energy|Coal,2010,ALB,EJ/yr,0.037
Primary Energy|Coal,2010,AND,EJ/yr,0.0
Primary Energy|Coal,2010,ARE,EJ/yr,0.0276
Primary Energy|Coal,2010,ARG,EJ/yr,0.0485
Primary Energy|Coal,2010,ARM,EJ/yr,0.0099
Primary Energy|Coal,2010,ASM,EJ/yr,0.0
Primary Energy|Coal,2010,ATA,EJ/yr,0.0
Primary Energy|Coal,2010,ATF,EJ/yr,0.0
Primary Energy|Coal,2010,ATG,EJ/yr,0.0001
Primary Energy|Coal,2010,AUS,EJ/yr,2.1866
Primary Energy|Coal,2010,AUT,EJ/yr,0.1416
Primary Energy|Coal,2010,AZE,EJ/yr,0.0002
Primary Energy|Coal,2010,BDI,EJ/yr,0.0014
Primary Energy|Coal,2010,BEL,EJ/yr,0.157
Primary Energy|Coal,2010,BEN,EJ/yr,0.0018
Primary Energy|Coal,2010,BES,EJ/yr,0.0
Primary Energy|Coal,2010,BFA,EJ/yr,0.0026
Primary Energy|Coal,2010,BGD,EJ/yr,0.0312
Primary Energy|Coal,2010,BGR,EJ/yr,0.2882
Primary Energy|Coal,2010,BHR,EJ/yr,0.0042
Primary Energy|Coal,2010,BHS,EJ/yr,0.0003
Primary Energy|Coal,2010,BIH,EJ/yr,0.1244
Primary Energy|Coal,2010,BLM,EJ/yr,0.0
Primary Energy|Coal,2010,BLR,EJ/yr,0.027
Primary Energy|Coal,2010,BLZ,EJ/yr,0.0002
Primary Energy|Coal,2010,BMU,EJ/yr,0.0
Primary Energy|Coal,2010,BOL,EJ/yr,0.0068
Primary Energy|Coal,2010,BRA,EJ/yr,0.6055
Primary Energy|Coal,2010,BRB,EJ/yr,0.0002
Primary Energy|Coal,2010,BRN,EJ/yr,0.0301
Primary Energy|Coal,2010,BTN,EJ/yr,0.0031
Primary Energy|Coal,2010,BVT,EJ/yr,0.0
Primary Energy|Coal,2010,BWA,EJ/yr,0.0011
Primary Energy|Coal,2010,CAF,EJ/yr,0.0007
Primary Energy|Coal,2010,CAN,EJ/yr,1.0331
Primary Energy|Coal,2010,CCK,EJ/yr,0.0
Primary Energy|Coal,2010,CHE,EJ/yr,0.0062
Primary Energy|Coal,2010,CHL,EJ/yr,0.188
Primary Energy|Coal,2010,CHN,EJ/yr,73.226
Primary Energy|Coal,2010,CIV,EJ/yr,0.0048
Primary Energy|Coal,2010,CMR,EJ/yr,0.0035
Primary Energy|Coal,2010,COD,EJ/yr,0.0124
Primary Energy|Coal,2010,COG,EJ/yr,0.0011
Primary Energy|Coal,2010,COK,EJ/yr,0.0001
Primary Energy|Coal,2010,COL,EJ/yr,0.2013
Primary Energy|Coal,2010,COM,EJ/yr,0.0001
Primary Energy|Coal,2010,CPV,EJ/yr,0.0001
Primary Energy|Coal,2010,CRI,EJ/yr,0.0045
Primary Energy|Coal,2010,CUB,EJ/yr,0.0096
Primary Energy|Coal,2010,CUW,EJ/yr,0.0
Primary Energy|Coal,2010,CXR,EJ/yr,0.0
Primary Energy|Coal,2010,CYM,EJ/yr,0.0001
Primary Energy|Coal,2010,CYP,EJ/yr,0.0006
Primary Energy|Coal,2010,CZE,EJ/yr,0.7862
Primary Energy|Coal,2010,DEU,EJ/yr,3.2262
Primary Energy|Coal,2010,DJI,EJ/yr,0.0002
Primary Energy|Coal,2010,DMA,EJ/yr,0.0
Primary Energy|Coal,2010,DNK,EJ/yr,0.1637
Primary Energy|Coal,2010,DOM,EJ/yr,0.007
Primary Energy|Coal,2010,DZA,EJ/yr,0.013
Primary Energy|Coal,2010,ECU,EJ/yr,0.0004
Primary Energy|Coal,2010,EGY,EJ/yr,0.0194
Primary Energy|Coal,2010,ERI,EJ/yr,0.0004
Primary Energy|Coal,2010,ESH,EJ/yr,0.0
Primary Energy|Coal,2010,ESP,EJ/yr,0.2888
Primary Energy|Coal,2010,EST,EJ/yr,0.1686
Primary Energy|Coal,2010,ETH,EJ/yr,0.017
Primary Energy|Coal,2010,FIN,EJ/yr,0.2841
Primary Energy|Coal,2010,FJI,EJ/yr,0.004
Primary Energy|Coal,2010,FLK,EJ/yr,0.0
Primary Energy|Coal,2010,FRA,EJ/yr,0.4973
Primary Energy|Coal,2010,FRO,EJ/yr,0.0
Primary Energy|Coal,2010,FSM,EJ/yr,0.0
Primary Energy|Coal,2010,GAB,EJ/yr,0.0021
Primary Energy|Coal,2010,GBR,EJ/yr,1.2773
Primary Energy|Coal,2010,GEO,EJ/yr,0.083
Primary Energy|Coal,2010,GGY,EJ/yr,0.0
Primary Energy|Coal,2010,GHA,EJ/yr,0.0041
Primary Energy|Coal,2010,GIB,EJ/yr,0.0693
Primary Energy|Coal,2010,GIN,EJ/yr,0.0017
Primary Energy|Coal,2010,GLP,EJ/yr,0.0004
Primary Energy|Coal,2010,GMB,EJ/yr,0.0003
Primary Energy|Coal,2010,GNB,EJ/yr,0.0003
Primary Energy|Coal,2010,GNQ,EJ/yr,0.0007
Primary Energy|Coal,2010,GRC,EJ/yr,0.3294
Primary Energy|Coal,2010,GRD,EJ/yr,0.0001
