# source: FAOSTAT-2026
# description: Data from {{source}} extrapolated to 2025.
variable,year,region,unit,value
Emissions|CH4|AFOLU|Agriculture,2025,AFG,Mt CH4/yr,0.4374422
Emissions|CH4|AFOLU|Agriculture,2025,AGO,Mt CH4/yr,0.2194349
Emissions|CH4|AFOLU|Agriculture,2025,ALB,Mt CH4/yr,0.0508066
Emissions|CH4|AFOLU|Agriculture,2025,ARE,Mt CH4/yr,0.0557413999999999
Emissions|CH4|AFOLU|Agriculture,2025,ARG,Mt CH4/yr,3.3324057
Emissions|CH4|AFOLU|Agriculture,2025,ARM,Mt CH4/yr,0.0236042
Emissions|CH4|AFOLU|Agriculture,2025,ATG,Mt CH4/yr,0.0004763
Emissions|CH4|AFOLU|Agriculture,2025,AUS,Mt CH4/yr,2.5885217
Emissions|CH4|AFOLU|Agriculture,2025,AUT,Mt CH4/yr,0.1609455
Emissions|CH4|AFOLU|Agriculture,2025,AZE,Mt CH4/yr,0.1428001
Emissions|CH4|AFOLU|Agriculture,2025,BDI,Mt CH4/yr,0.0790986999999999
Emissions|CH4|AFOLU|Agriculture,2025,BEL,Mt CH4/yr,0.1856267999999999
Emissions|CH4|AFOLU|Agriculture,2025,BEN,Mt CH4/yr,0.1322044999999999
Emissions|CH4|AFOLU|Agriculture,2025,BFA,Mt CH4/yr,0.5428213
Emissions|CH4|AFOLU|Agriculture,2025,BGD,Mt CH4/yr,2.4513854000000004
Emissions|CH4|AFOLU|Agriculture,2025,BGR,Mt CH4/yr,0.0630049
Emissions|CH4|AFOLU|Agriculture,2025,BHR,Mt CH4/yr,0.000932
Emissions|CH4|AFOLU|Agriculture,2025,BHS,Mt CH4/yr,0.0002371
Emissions|CH4|AFOLU|Agriculture,2025,BIH,Mt CH4/yr,0.0410849
Emissions|CH4|AFOLU|Agriculture,2025,BLR,Mt CH4/yr,0.3464886
Emissions|CH4|AFOLU|Agriculture,2025,BLZ,Mt CH4/yr,0.0064715999999999
Emissions|CH4|AFOLU|Agriculture,2025,BOL,Mt CH4/yr,0.8189152
Emissions|CH4|AFOLU|Agriculture,2025,BRA,Mt CH4/yr,14.471676999999996
