# source: FAOSTAT-2026
# description: Based on {{source}}.
variable,year,region,unit,value
Emissions|CH4|AFOLU|Agriculture,2010,AFG,Mt CH4/yr,0.4601055999999999
Emissions|CH4|AFOLU|Agriculture,2010,AGO,Mt CH4/yr,0.1856814
Emissions|CH4|AFOLU|Agriculture,2010,ALB,Mt CH4/yr,0.080322
Emissions|CH4|AFOLU|Agriculture,2010,ARE,Mt CH4/yr,0.0384747
Emissions|CH4|AFOLU|Agriculture,2010,ARG,Mt CH4/yr,3.0696583000000004
Emissions|CH4|AFOLU|Agriculture,2010,ARM,Mt CH4/yr,0.025675
Emissions|CH4|AFOLU|Agriculture,2010,ATG,Mt CH4/yr,0.0005855999999999999
Emissions|CH4|AFOLU|Agriculture,2010,AUS,Mt CH4/yr,2.3569323
Emissions|CH4|AFOLU|Agriculture,2010,AUT,Mt CH4/yr,0.1746733
Emissions|CH4|AFOLU|Agriculture,2010,AZE,Mt CH4/yr,0.1571399
Emissions|CH4|AFOLU|Agriculture,2010,BDI,Mt CH4/yr,0.0354866
Emissions|CH4|AFOLU|Agriculture,2010,BEL,Mt CH4/yr,0.2056579999999999
Emissions|CH4|AFOLU|Agriculture,2010,BEN,Mt CH4/yr,0.0882037999999999
Emissions|CH4|AFOLU|Agriculture,2010,BFA,Mt CH4/yr,0.4430524
Emissions|CH4|AFOLU|Agriculture,2010,BGD,Mt CH4/yr,2.3296131
Emissions|CH4|AFOLU|Agriculture,2010,BGR,Mt CH4/yr,0.0721131
Emissions|CH4|AFOLU|Agriculture,2010,BHR,Mt CH4/yr,0.0007955
Emissions|CH4|AFOLU|Agriculture,2010,BHS,Mt CH4/yr,0.0002269
Emissions|CH4|AFOLU|Agriculture,2010,BIH,Mt CH4/yr,0.0608201
Emissions|CH4|AFOLU|Agriculture,2010,BLR,Mt CH4/yr,0.3426916
Emissions|CH4|AFOLU|Agriculture,2010,BLZ,Mt CH4/yr,0.0058381
Emissions|CH4|AFOLU|Agriculture,2010,BOL,Mt CH4/yr,0.6438799000000002
Emissions|CH4|AFOLU|Agriculture,2010,BRA,Mt CH4/yr,12.9063075
Emissions|CH4|AFOLU|Agriculture,2010,BRB,Mt CH4/yr,0.0009351
Emissions|CH4|AFOLU|Agriculture,2010,BRN,Mt CH4/yr,0.0009205
Emissions|CH4|AFOLU|Agriculture,2010,BTN,Mt CH4/yr,0.0163749
Emissions|CH4|AFOLU|Agriculture,2010,BWA,Mt CH4/yr,0.1010681
Emissions|CH4|AFOLU|Agriculture,2010,CAF,Mt CH4/yr,0.1570646999999999
Emissions|CH4|AFOLU|Agriculture,2010,CAN,Mt CH4/yr,0.8362457999999998
Emissions|CH4|AFOLU|Agriculture,2010,CHE,Mt CH4/yr,0.1510677
Emissions|CH4|AFOLU|Agriculture,2010,CHL,Mt CH4/yr,0.2612675
Emissions|CH4|AFOLU|Agriculture,2010,CHN,Mt CH4/yr,12.4680892
Emissions|CH4|AFOLU|Agriculture,2010,CIV,Mt CH4/yr,0.0841247
Emissions|CH4|AFOLU|Agriculture,2010,CMR,Mt CH4/yr,0.2208615999999999
Emissions|CH4|AFOLU|Agriculture,2010,COD,Mt CH4/yr,0.0814188
Emissions|CH4|AFOLU|Agriculture,2010,COG,Mt CH4/yr,0.01316
Emissions|CH4|AFOLU|Agriculture,2010,COK,Mt CH4/yr,4.24e-05
Emissions|CH4|AFOLU|Agriculture,2010,COL,Mt CH4/yr,1.8119714
Emissions|CH4|AFOLU|Agriculture,2010,COM,Mt CH4/yr,0.0025675999999999
Emissions|CH4|AFOLU|Agriculture,2010,CPV,Mt CH4/yr,0.0020399
Emissions|CH4|AFOLU|Agriculture,2010,CRI,Mt CH4/yr,0.0913783
Emissions|CH4|AFOLU|Agriculture,2010,CUB,Mt CH4/yr,0.315658
Emissions|CH4|AFOLU|Agriculture,2010,CYP,Mt CH4/yr,0.0054818
