# source: Hansis-2015
# description: Data from {{source}} extrapolated to 2025.
variable,year,region,unit,value
Emissions|CO2|AFOLU,2025,AFG,Mt CO2/yr,18.24774592
Emissions|CO2|AFOLU,2025,AGO,Mt CO2/yr,50.0029744
Emissions|CO2|AFOLU,2025,ALB,Mt CO2/yr,-0.42004096
Emissions|CO2|AFOLU,2025,AND,Mt CO2/yr,-0.00597232
Emissions|CO2|AFOLU,2025,ARE,Mt CO2/yr,0.00010992
Emissions|CO2|AFOLU,2025,ARG,Mt CO2/yr,144.405568
Emissions|CO2|AFOLU,2025,ARM,Mt CO2/yr,0.02429232
Emissions|CO2|AFOLU,2025,ATG,Mt CO2/yr,-0.02630752
Emissions|CO2|AFOLU,2025,AUS,Mt CO2/yr,41.6558328
Emissions|CO2|AFOLU,2025,AUT,Mt CO2/yr,-0.6679472
Emissions|CO2|AFOLU,2025,AZE,Mt CO2/yr,2.65416496
Emissions|CO2|AFOLU,2025,BDI,Mt CO2/yr,4.29497744
Emissions|CO2|AFOLU,2025,BEL,Mt CO2/yr,3.83935904
Emissions|CO2|AFOLU,2025,BEN,Mt CO2/yr,44.086567040000006
Emissions|CO2|AFOLU,2025,BFA,Mt CO2/yr,28.44498768
Emissions|CO2|AFOLU,2025,BGD,Mt CO2/yr,14.80179056
Emissions|CO2|AFOLU,2025,BGR,Mt CO2/yr,-7.83297248
Emissions|CO2|AFOLU,2025,BHR,Mt CO2/yr,3.664e-05
Emissions|CO2|AFOLU,2025,BHS,Mt CO2/yr,-0.019236
Emissions|CO2|AFOLU,2025,BIH,Mt CO2/yr,-0.62156096
Emissions|CO2|AFOLU,2025,BLR,Mt CO2/yr,-3.52154368
Emissions|CO2|AFOLU,2025,BLZ,Mt CO2/yr,6.37697216
Emissions|CO2|AFOLU,2025,BOL,Mt CO2/yr,110.93947136
Emissions|CO2|AFOLU,2025,BRA,Mt CO2/yr,1599.6664928
Emissions|CO2|AFOLU,2025,BRB,Mt CO2/yr,-0.06990912
Emissions|CO2|AFOLU,2025,BRN,Mt CO2/yr,0.8414009600000001
Emissions|CO2|AFOLU,2025,BTN,Mt CO2/yr,6.536576
Emissions|CO2|AFOLU,2025,BWA,Mt CO2/yr,-0.1962072
Emissions|CO2|AFOLU,2025,CAF,Mt CO2/yr,50.26465728
Emissions|CO2|AFOLU,2025,CAN,Mt CO2/yr,111.9465584
Emissions|CO2|AFOLU,2025,CHE,Mt CO2/yr,-0.1276904
Emissions|CO2|AFOLU,2025,CHL,Mt CO2/yr,9.59128944
Emissions|CO2|AFOLU,2025,CHN,Mt CO2/yr,-319.41755392
Emissions|CO2|AFOLU,2025,CIV,Mt CO2/yr,237.57108528
Emissions|CO2|AFOLU,2025,CMR,Mt CO2/yr,23.45348384
Emissions|CO2|AFOLU,2025,COD,Mt CO2/yr,648.1961148800001
Emissions|CO2|AFOLU,2025,COG,Mt CO2/yr,17.326616320000003
Emissions|CO2|AFOLU,2025,COL,Mt CO2/yr,14.53127744
Emissions|CO2|AFOLU,2025,COM,Mt CO2/yr,0.02652736
Emissions|CO2|AFOLU,2025,CPV,Mt CO2/yr,0.00282128
Emissions|CO2|AFOLU,2025,CRI,Mt CO2/yr,-0.98649536
Emissions|CO2|AFOLU,2025,CUB,Mt CO2/yr,-0.09669296
