# source: Hansis-2015
# description: Based on {{source}}.
variable,year,region,unit,value
Emissions|CO2|AFOLU,2010,AFG,Mt CO2/yr,0.23750048
Emissions|CO2|AFOLU,2010,AGO,Mt CO2/yr,149.96462544
Emissions|CO2|AFOLU,2010,ALB,Mt CO2/yr,0.74936128
Emissions|CO2|AFOLU,2010,AND,Mt CO2/yr,0.00106256
Emissions|CO2|AFOLU,2010,ARE,Mt CO2/yr,-0.218008
Emissions|CO2|AFOLU,2010,ARG,Mt CO2/yr,244.19545072
Emissions|CO2|AFOLU,2010,ARM,Mt CO2/yr,1.39539776
Emissions|CO2|AFOLU,2010,ATG,Mt CO2/yr,-0.0496472
Emissions|CO2|AFOLU,2010,AUS,Mt CO2/yr,550.92134832
Emissions|CO2|AFOLU,2010,AUT,Mt CO2/yr,-0.51981168
Emissions|CO2|AFOLU,2010,AZE,Mt CO2/yr,2.2242678400000004
Emissions|CO2|AFOLU,2010,BDI,Mt CO2/yr,3.062188
Emissions|CO2|AFOLU,2010,BEL,Mt CO2/yr,1.687272
Emissions|CO2|AFOLU,2010,BEN,Mt CO2/yr,25.7154176
Emissions|CO2|AFOLU,2010,BFA,Mt CO2/yr,33.315506240000005
Emissions|CO2|AFOLU,2010,BGD,Mt CO2/yr,7.76782656
Emissions|CO2|AFOLU,2010,BGR,Mt CO2/yr,-7.75470944
Emissions|CO2|AFOLU,2010,BHR,Mt CO2/yr,7.328e-05
Emissions|CO2|AFOLU,2010,BHS,Mt CO2/yr,0.18635104
Emissions|CO2|AFOLU,2010,BIH,Mt CO2/yr,-4.12232976
Emissions|CO2|AFOLU,2010,BLR,Mt CO2/yr,4.2037438400000005
Emissions|CO2|AFOLU,2010,BLZ,Mt CO2/yr,5.66868432
Emissions|CO2|AFOLU,2010,BOL,Mt CO2/yr,102.9725064
Emissions|CO2|AFOLU,2010,BRA,Mt CO2/yr,1112.9888044800002
Emissions|CO2|AFOLU,2010,BRB,Mt CO2/yr,-0.05968656
Emissions|CO2|AFOLU,2010,BRN,Mt CO2/yr,1.5241507200000002
Emissions|CO2|AFOLU,2010,BTN,Mt CO2/yr,13.85032304
Emissions|CO2|AFOLU,2010,BWA,Mt CO2/yr,5.22361824
