# source: Houghton-2023
# description: Data from {{source}} extrapolated to 2025.
variable,year,region,unit,value
Emissions|CO2|AFOLU,2025,AFG,Mt CO2/yr,1.06714
Emissions|CO2|AFOLU,2025,AGO,Mt CO2/yr,113.56938064
Emissions|CO2|AFOLU,2025,ALB,Mt CO2/yr,-0.63709632
Emissions|CO2|AFOLU,2025,AND,Mt CO2/yr,-0.000916
Emissions|CO2|AFOLU,2025,ARE,Mt CO2/yr,-1.22934528
Emissions|CO2|AFOLU,2025,ARG,Mt CO2/yr,17.60995344
Emissions|CO2|AFOLU,2025,ARM,Mt CO2/yr,0.0080608
Emissions|CO2|AFOLU,2025,ATG,Mt CO2/yr,-3.664e-05
Emissions|CO2|AFOLU,2025,AUS,Mt CO2/yr,5.83191552
Emissions|CO2|AFOLU,2025,AUT,Mt CO2/yr,-13.11012176
Emissions|CO2|AFOLU,2025,AZE,Mt CO2/yr,3.24106448
Emissions|CO2|AFOLU,2025,BDI,Mt CO2/yr,0.4633128
Emissions|CO2|AFOLU,2025,BEL,Mt CO2/yr,2.51559248
Emissions|CO2|AFOLU,2025,BEN,Mt CO2/yr,18.93163152
Emissions|CO2|AFOLU,2025,BFA,Mt CO2/yr,10.11494832
Emissions|CO2|AFOLU,2025,BGD,Mt CO2/yr,12.94520512
Emissions|CO2|AFOLU,2025,BGR,Mt CO2/yr,-6.5847576000000005
Emissions|CO2|AFOLU,2025,BHR,Mt CO2/yr,-0.00351744
Emissions|CO2|AFOLU,2025,BHS,Mt CO2/yr,-0.0454336
Emissions|CO2|AFOLU,2025,BIH,Mt CO2/yr,1.28961808
Emissions|CO2|AFOLU,2025,BLR,Mt CO2/yr,0.1229272
Emissions|CO2|AFOLU,2025,BLZ,Mt CO2/yr,2.82728896
Emissions|CO2|AFOLU,2025,BOL,Mt CO2/yr,54.66823568
Emissions|CO2|AFOLU,2025,BRA,Mt CO2/yr,435.54257456
Emissions|CO2|AFOLU,2025,BRB,Mt CO2/yr,-0.0928824
Emissions|CO2|AFOLU,2025,BRN,Mt CO2/yr,0.48232896
Emissions|CO2|AFOLU,2025,BTN,Mt CO2/yr,-1.9328699200000004
Emissions|CO2|AFOLU,2025,BWA,Mt CO2/yr,22.16840912
Emissions|CO2|AFOLU,2025,CAF,Mt CO2/yr,3.32211216
Emissions|CO2|AFOLU,2025,CAN,Mt CO2/yr,58.26441504
Emissions|CO2|AFOLU,2025,CHE,Mt CO2/yr,-3.3586788800000003
Emissions|CO2|AFOLU,2025,CHL,Mt CO2/yr,-14.116476
Emissions|CO2|AFOLU,2025,CHN,Mt CO2/yr,-120.1156296
Emissions|CO2|AFOLU,2025,CIV,Mt CO2/yr,99.14410272
Emissions|CO2|AFOLU,2025,CMR,Mt CO2/yr,14.48294928
Emissions|CO2|AFOLU,2025,COD,Mt CO2/yr,509.67764224000007
Emissions|CO2|AFOLU,2025,COG,Mt CO2/yr,8.40807392
Emissions|CO2|AFOLU,2025,COK,Mt CO2/yr,-0.01718416
Emissions|CO2|AFOLU,2025,COL,Mt CO2/yr,77.71468576
Emissions|CO2|AFOLU,2025,CRI,Mt CO2/yr,0.27410384
Emissions|CO2|AFOLU,2025,CUB,Mt CO2/yr,-4.48521232
Emissions|CO2|AFOLU,2025,CYP,Mt CO2/yr,-0.38263152
Emissions|CO2|AFOLU,2025,CZE,Mt CO2/yr,-20.58424208
Emissions|CO2|AFOLU,2025,DEU,Mt CO2/yr,-75.00559744
Emissions|CO2|AFOLU,2025,DJI,Mt CO2/yr,0.02249696
Emissions|CO2|AFOLU,2025,DMA,Mt CO2/yr,0.00043968
Emissions|CO2|AFOLU,2025,DNK,Mt CO2/yr,0.6095064
Emissions|CO2|AFOLU,2025,DOM,Mt CO2/yr,-2.82171968
Emissions|CO2|AFOLU,2025,DZA,Mt CO2/yr,2.73030288
Emissions|CO2|AFOLU,2025,ECU,Mt CO2/yr,21.74983376
Emissions|CO2|AFOLU,2025,EGY,Mt CO2/yr,4.95530352
Emissions|CO2|AFOLU,2025,ERI,Mt CO2/yr,0.48159616
Emissions|CO2|AFOLU,2025,ESP,Mt CO2/yr,-11.89502944
Emissions|CO2|AFOLU,2025,EST,Mt CO2/yr,1.4167588800000002
Emissions|CO2|AFOLU,2025,ETH,Mt CO2/yr,28.76906848
Emissions|CO2|AFOLU,2025,FIN,Mt CO2/yr,9.60228144
Emissions|CO2|AFOLU,2025,FJI,Mt CO2/yr,-0.19800256
Emissions|CO2|AFOLU,2025,FRA,Mt CO2/yr,-57.03796432000001
Emissions|CO2|AFOLU,2025,FSM,Mt CO2/yr,-0.16520976
Emissions|CO2|AFOLU,2025,GAB,Mt CO2/yr,6.49029968
Emissions|CO2|AFOLU,2025,GBR,Mt CO2/yr,4.56270592
Emissions|CO2|AFOLU,2025,GEO,Mt CO2/yr,-3.93337728
Emissions|CO2|AFOLU,2025,GHA,Mt CO2/yr,-8.5772408
Emissions|CO2|AFOLU,2025,GIN,Mt CO2/yr,16.64375664
Emissions|CO2|AFOLU,2025,GMB,Mt CO2/yr,2.02787744
Emissions|CO2|AFOLU,2025,GNB,Mt CO2/yr,0.35328288
Emissions|CO2|AFOLU,2025,GNQ,Mt CO2/yr,3.86709552
Emissions|CO2|AFOLU,2025,GRC,Mt CO2/yr,-2.14193776
Emissions|CO2|AFOLU,2025,GRD,Mt CO2/yr,-3.664e-05
Emissions|CO2|AFOLU,2025,GTM,Mt CO2/yr,1.4947288
Emissions|CO2|AFOLU,2025,GUY,Mt CO2/yr,7.887932480000001
Emissions|CO2|AFOLU,2025,HND,Mt CO2/yr,0.78204416
Emissions|CO2|AFOLU,2025,HRV,Mt CO2/yr,-3.54371088
Emissions|CO2|AFOLU,2025,HTI,Mt CO2/yr,1.20439344
Emissions|CO2|AFOLU,2025,HUN,Mt CO2/yr,-10.874605440000002
Emissions|CO2|AFOLU,2025,IDN,Mt CO2/yr,812.3107052800001
Emissions|CO2|AFOLU,2025,IND,Mt CO2/yr,-51.91862352
Emissions|CO2|AFOLU,2025,IRL,Mt CO2/yr,-13.64869312
Emissions|CO2|AFOLU,2025,IRN,Mt CO2/yr,6.36521072
