# source: Houghton-2023
# description: Based on {{source}}.
variable,year,region,unit,value
Emissions|CO2|AFOLU,2010,AFG,Mt CO2/yr,0.12516224
Emissions|CO2|AFOLU,2010,AGO,Mt CO2/yr,122.55299568
Emissions|CO2|AFOLU,2010,ALB,Mt CO2/yr,-0.72847648
Emissions|CO2|AFOLU,2010,AND,Mt CO2/yr,-0.00234496
Emissions|CO2|AFOLU,2010,ARE,Mt CO2/yr,-1.4569896
Emissions|CO2|AFOLU,2010,ARG,Mt CO2/yr,307.86551152
Emissions|CO2|AFOLU,2010,ARM,Mt CO2/yr,0.24633072
Emissions|CO2|AFOLU,2010,ATG,Mt CO2/yr,3.664e-05
Emissions|CO2|AFOLU,2010,AUS,Mt CO2/yr,53.96324544
Emissions|CO2|AFOLU,2010,AUT,Mt CO2/yr,-15.87633184
Emissions|CO2|AFOLU,2010,AZE,Mt CO2/yr,0.68842896
Emissions|CO2|AFOLU,2010,BDI,Mt CO2/yr,3.87094272
Emissions|CO2|AFOLU,2010,BEL,Mt CO2/yr,-1.81159152
Emissions|CO2|AFOLU,2010,BEN,Mt CO2/yr,26.427809120000003
Emissions|CO2|AFOLU,2010,BFA,Mt CO2/yr,38.54626928
Emissions|CO2|AFOLU,2010,BGD,Mt CO2/yr,4.66892528
Emissions|CO2|AFOLU,2010,BGR,Mt CO2/yr,-7.51233584
Emissions|CO2|AFOLU,2010,BHR,Mt CO2/yr,-0.0010992
Emissions|CO2|AFOLU,2010,BHS,Mt CO2/yr,-0.02073824
Emissions|CO2|AFOLU,2010,BIH,Mt CO2/yr,1.49410592
Emissions|CO2|AFOLU,2010,BLR,Mt CO2/yr,-4.27610784
Emissions|CO2|AFOLU,2010,BLZ,Mt CO2/yr,2.63434272
Emissions|CO2|AFOLU,2010,BOL,Mt CO2/yr,62.15397088
Emissions|CO2|AFOLU,2010,BRA,Mt CO2/yr,1049.9381795200002
Emissions|CO2|AFOLU,2010,BRB,Mt CO2/yr,-0.03568736
Emissions|CO2|AFOLU,2010,BRN,Mt CO2/yr,1.3540312
Emissions|CO2|AFOLU,2010,BTN,Mt CO2/yr,0.00373728
Emissions|CO2|AFOLU,2010,BWA,Mt CO2/yr,22.23982048
Emissions|CO2|AFOLU,2010,CAF,Mt CO2/yr,8.33116656
Emissions|CO2|AFOLU,2010,CAN,Mt CO2/yr,64.52762
Emissions|CO2|AFOLU,2010,CHE,Mt CO2/yr,-3.2745168
Emissions|CO2|AFOLU,2010,CHL,Mt CO2/yr,-11.08110848
Emissions|CO2|AFOLU,2010,CHN,Mt CO2/yr,-163.1284248
Emissions|CO2|AFOLU,2010,CIV,Mt CO2/yr,92.0061544
Emissions|CO2|AFOLU,2010,CMR,Mt CO2/yr,21.74386144
Emissions|CO2|AFOLU,2010,COD,Mt CO2/yr,380.23661968
Emissions|CO2|AFOLU,2010,COG,Mt CO2/yr,10.1426848
Emissions|CO2|AFOLU,2010,COK,Mt CO2/yr,-0.02835936
Emissions|CO2|AFOLU,2010,COL,Mt CO2/yr,80.87353008
Emissions|CO2|AFOLU,2010,CRI,Mt CO2/yr,-0.53128
Emissions|CO2|AFOLU,2010,CUB,Mt CO2/yr,-9.19238976
Emissions|CO2|AFOLU,2010,CYP,Mt CO2/yr,-0.8745968000000001
Emissions|CO2|AFOLU,2010,CZE,Mt CO2/yr,-36.13293904
Emissions|CO2|AFOLU,2010,DEU,Mt CO2/yr,-85.75624976
Emissions|CO2|AFOLU,2010,DJI,Mt CO2/yr,0.03495456
Emissions|CO2|AFOLU,2010,DMA,Mt CO2/yr,0.08438192
Emissions|CO2|AFOLU,2010,DNK,Mt CO2/yr,1.94181008
Emissions|CO2|AFOLU,2010,DOM,Mt CO2/yr,-3.86720544
Emissions|CO2|AFOLU,2010,DZA,Mt CO2/yr,1.79433408
Emissions|CO2|AFOLU,2010,ECU,Mt CO2/yr,21.56146752
Emissions|CO2|AFOLU,2010,EGY,Mt CO2/yr,11.47300992
Emissions|CO2|AFOLU,2010,ERI,Mt CO2/yr,1.02434448
Emissions|CO2|AFOLU,2010,ESP,Mt CO2/yr,-11.04820576
Emissions|CO2|AFOLU,2010,EST,Mt CO2/yr,-0.42157984
Emissions|CO2|AFOLU,2010,ETH,Mt CO2/yr,40.26908208
Emissions|CO2|AFOLU,2010,FIN,Mt CO2/yr,12.14528064
Emissions|CO2|AFOLU,2010,FJI,Mt CO2/yr,-0.33749104
Emissions|CO2|AFOLU,2010,FRA,Mt CO2/yr,-66.44469808000001
Emissions|CO2|AFOLU,2010,FSM,Mt CO2/yr,-0.1608862399999999
Emissions|CO2|AFOLU,2010,GAB,Mt CO2/yr,4.2953072
Emissions|CO2|AFOLU,2010,GBR,Mt CO2/yr,-0.20100704
Emissions|CO2|AFOLU,2010,GEO,Mt CO2/yr,-4.47125248
Emissions|CO2|AFOLU,2010,GHA,Mt CO2/yr,28.781636
Emissions|CO2|AFOLU,2010,GIN,Mt CO2/yr,19.9556096
Emissions|CO2|AFOLU,2010,GMB,Mt CO2/yr,6.20212608
Emissions|CO2|AFOLU,2010,GNB,Mt CO2/yr,1.95536688
Emissions|CO2|AFOLU,2010,GNQ,Mt CO2/yr,4.2338252800000005
Emissions|CO2|AFOLU,2010,GRC,Mt CO2/yr,-1.10777376
Emissions|CO2|AFOLU,2010,GRD,Mt CO2/yr,3.664e-05
Emissions|CO2|AFOLU,2010,GTM,Mt CO2/yr,18.1580512
Emissions|CO2|AFOLU,2010,GUY,Mt CO2/yr,6.10686208
Emissions|CO2|AFOLU,2010,HND,Mt CO2/yr,3.78329984
Emissions|CO2|AFOLU,2010,HRV,Mt CO2/yr,-3.77839008
Emissions|CO2|AFOLU,2010,HTI,Mt CO2/yr,3.0841353600000003
Emissions|CO2|AFOLU,2010,HUN,Mt CO2/yr,-11.6108496
Emissions|CO2|AFOLU,2010,IDN,Mt CO2/yr,624.53799664
Emissions|CO2|AFOLU,2010,IND,Mt CO2/yr,13.28079088
Emissions|CO2|AFOLU,2010,IRL,Mt CO2/yr,-14.910648
Emissions|CO2|AFOLU,2010,IRN,Mt CO2/yr,-5.38120688
Emissions|CO2|AFOLU,2010,IRQ,Mt CO2/yr,-0.40776656
Emissions|CO2|AFOLU,2010,ISL,Mt CO2/yr,1.04761088
Emissions|CO2|AFOLU,2010,ISR,Mt CO2/yr,-0.6615352
Emissions|CO2|AFOLU,2010,ITA,Mt CO2/yr,-43.61420416
Emissions|CO2|AFOLU,2010,JAM,Mt CO2/yr,-0.71019312
Emissions|CO2|AFOLU,2010,JOR,Mt CO2/yr,0.45920912
Emissions|CO2|AFOLU,2010,JPN,Mt CO2/yr,-29.70210608
Emissions|CO2|AFOLU,2010,KAZ,Mt CO2/yr,122.60355888
Emissions|CO2|AFOLU,2010,KEN,Mt CO2/yr,48.74197216
Emissions|CO2|AFOLU,2010,KGZ,Mt CO2/yr,-0.0432352
Emissions|CO2|AFOLU,2010,KHM,Mt CO2/yr,6.0067616
Emissions|CO2|AFOLU,2010,KOR,Mt CO2/yr,-8.900772000000002
Emissions|CO2|AFOLU,2010,KWT,Mt CO2/yr,0.04536032
Emissions|CO2|AFOLU,2010,LAO,Mt CO2/yr,12.27003984
Emissions|CO2|AFOLU,2010,LBN,Mt CO2/yr,-0.04733888
Emissions|CO2|AFOLU,2010,LBR,Mt CO2/yr,20.06047328
Emissions|CO2|AFOLU,2010,LBY,Mt CO2/yr,-0.8904252800000001
Emissions|CO2|AFOLU,2010,LCA,Mt CO2/yr,-0.04037728
Emissions|CO2|AFOLU,2010,LIE,Mt CO2/yr,-0.01681776
Emissions|CO2|AFOLU,2010,LKA,Mt CO2/yr,9.77815344
Emissions|CO2|AFOLU,2010,LSO,Mt CO2/yr,0.15909088
Emissions|CO2|AFOLU,2010,LTU,Mt CO2/yr,6.61897936
Emissions|CO2|AFOLU,2010,LUX,Mt CO2/yr,-0.13285664
Emissions|CO2|AFOLU,2010,LVA,Mt CO2/yr,1.07531072
Emissions|CO2|AFOLU,2010,MAR,Mt CO2/yr,3.26183936
Emissions|CO2|AFOLU,2010,MDA,Mt CO2/yr,-0.35313632
Emissions|CO2|AFOLU,2010,MDG,Mt CO2/yr,33.7754848
Emissions|CO2|AFOLU,2010,MDV,Mt CO2/yr,0.00051296
Emissions|CO2|AFOLU,2010,MEX,Mt CO2/yr,13.190216800000002
Emissions|CO2|AFOLU,2010,MKD,Mt CO2/yr,-2.48038144
Emissions|CO2|AFOLU,2010,MLI,Mt CO2/yr,23.857146720000003
Emissions|CO2|AFOLU,2010,MLT,Mt CO2/yr,0.03466144
Emissions|CO2|AFOLU,2010,MMR,Mt CO2/yr,141.21297824
Emissions|CO2|AFOLU,2010,MNE,Mt CO2/yr,-0.2194736
Emissions|CO2|AFOLU,2010,MNG,Mt CO2/yr,5.73551568
Emissions|CO2|AFOLU,2010,MOZ,Mt CO2/yr,65.68218304
Emissions|CO2|AFOLU,2010,MRT,Mt CO2/yr,0.65900704
Emissions|CO2|AFOLU,2010,MUS,Mt CO2/yr,0.00076944
Emissions|CO2|AFOLU,2010,MWI,Mt CO2/yr,22.63868352
Emissions|CO2|AFOLU,2010,MYS,Mt CO2/yr,108.24273072
Emissions|CO2|AFOLU,2010,NAM,Mt CO2/yr,7.301472640000001
Emissions|CO2|AFOLU,2010,NER,Mt CO2/yr,25.729707200000004
Emissions|CO2|AFOLU,2010,NGA,Mt CO2/yr,41.32951696
Emissions|CO2|AFOLU,2010,NIC,Mt CO2/yr,32.64352864
Emissions|CO2|AFOLU,2010,NIU,Mt CO2/yr,-0.0007328
Emissions|CO2|AFOLU,2010,NLD,Mt CO2/yr,7.481118560000001
