# source: IEA-CCUS-2026
# description: Custom projections based on {{source}} with details documented in the description of the `Feasibility Concern|Carbon Capture and Storage` criterion.
variable,year,region,unit,value
Carbon Capture|Geological Storage,2030,ABW,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,AFG,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,AGO,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,AIA,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,ALA,Mt CO2/yr,0.0042
Carbon Capture|Geological Storage,2030,ALB,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,AND,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,ARE,Mt CO2/yr,5.3214
Carbon Capture|Geological Storage,2030,ARG,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,ARM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,ASM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,ATA,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,ATF,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,ATG,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,AUS,Mt CO2/yr,16.2232
Carbon Capture|Geological Storage,2030,AUT,Mt CO2/yr,1.246
Carbon Capture|Geological Storage,2030,AZE,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BDI,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BEL,Mt CO2/yr,1.5106
Carbon Capture|Geological Storage,2030,BEN,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BES,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BFA,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BGD,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BGR,Mt CO2/yr,0.42
Carbon Capture|Geological Storage,2030,BHR,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BHS,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BIH,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BLM,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BLR,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BLZ,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BMU,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BOL,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BRA,Mt CO2/yr,33.88
Carbon Capture|Geological Storage,2030,BRB,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BRN,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BTN,Mt CO2/yr,0.0
Carbon Capture|Geological Storage,2030,BVT,Mt CO2/yr,0.0
