# source: OSCAR-GCB-2023
# description: Data from {{source}} extrapolated to 2025.
variable,year,region,unit,value
Emissions|CO2|AFOLU,2025,AFG,Mt CO2/yr,3.82532592
Emissions|CO2|AFOLU,2025,AGO,Mt CO2/yr,151.21170448
Emissions|CO2|AFOLU,2025,ALB,Mt CO2/yr,-0.4648883199999999
Emissions|CO2|AFOLU,2025,AND,Mt CO2/yr,-0.00996608
Emissions|CO2|AFOLU,2025,ARE,Mt CO2/yr,-0.1445448
Emissions|CO2|AFOLU,2025,ARG,Mt CO2/yr,-21.99982848
Emissions|CO2|AFOLU,2025,ARM,Mt CO2/yr,1.15243792
Emissions|CO2|AFOLU,2025,ATG,Mt CO2/yr,-0.00241824
Emissions|CO2|AFOLU,2025,AUS,Mt CO2/yr,-19.39142688
Emissions|CO2|AFOLU,2025,AUT,Mt CO2/yr,-3.608124
Emissions|CO2|AFOLU,2025,AZE,Mt CO2/yr,0.2769984
Emissions|CO2|AFOLU,2025,BDI,Mt CO2/yr,2.1859424
Emissions|CO2|AFOLU,2025,BEL,Mt CO2/yr,2.54017792
Emissions|CO2|AFOLU,2025,BEN,Mt CO2/yr,12.0311104
Emissions|CO2|AFOLU,2025,BFA,Mt CO2/yr,12.75793808
Emissions|CO2|AFOLU,2025,BGD,Mt CO2/yr,10.6618736
Emissions|CO2|AFOLU,2025,BGR,Mt CO2/yr,-3.0020984000000004
Emissions|CO2|AFOLU,2025,BHR,Mt CO2/yr,0.00117248
Emissions|CO2|AFOLU,2025,BHS,Mt CO2/yr,0.01124848
Emissions|CO2|AFOLU,2025,BIH,Mt CO2/yr,0.1143168
Emissions|CO2|AFOLU,2025,BLR,Mt CO2/yr,10.1793248
Emissions|CO2|AFOLU,2025,BLZ,Mt CO2/yr,8.47897232
Emissions|CO2|AFOLU,2025,BOL,Mt CO2/yr,96.48532112
Emissions|CO2|AFOLU,2025,BRA,Mt CO2/yr,1493.8983544
Emissions|CO2|AFOLU,2025,BRB,Mt CO2/yr,-0.01993216
Emissions|CO2|AFOLU,2025,BRN,Mt CO2/yr,0.50149168
Emissions|CO2|AFOLU,2025,BTN,Mt CO2/yr,-2.11031744
Emissions|CO2|AFOLU,2025,BWA,Mt CO2/yr,2.43406848
Emissions|CO2|AFOLU,2025,CAF,Mt CO2/yr,36.35996048
Emissions|CO2|AFOLU,2025,CAN,Mt CO2/yr,49.31289664
Emissions|CO2|AFOLU,2025,CHE,Mt CO2/yr,-0.16114272
