# source: OSCAR-GCB-2023
# description: Based on {{source}}.
variable,year,region,unit,value
Emissions|CO2|AFOLU,2010,AFG,Mt CO2/yr,3.07032208
Emissions|CO2|AFOLU,2010,AGO,Mt CO2/yr,155.01915008
Emissions|CO2|AFOLU,2010,ALB,Mt CO2/yr,0.5034336
Emissions|CO2|AFOLU,2010,AND,Mt CO2/yr,-0.0021984
Emissions|CO2|AFOLU,2010,ARE,Mt CO2/yr,-0.23988208
Emissions|CO2|AFOLU,2010,ARG,Mt CO2/yr,-10.02734208
Emissions|CO2|AFOLU,2010,ARM,Mt CO2/yr,2.0650304
Emissions|CO2|AFOLU,2010,ATG,Mt CO2/yr,-0.00868368
Emissions|CO2|AFOLU,2010,AUS,Mt CO2/yr,77.50085471999999
Emissions|CO2|AFOLU,2010,AUT,Mt CO2/yr,-1.5886004800000002
Emissions|CO2|AFOLU,2010,AZE,Mt CO2/yr,1.6343272
Emissions|CO2|AFOLU,2010,BDI,Mt CO2/yr,2.88452064
Emissions|CO2|AFOLU,2010,BEL,Mt CO2/yr,2.1917315200000003
Emissions|CO2|AFOLU,2010,BEN,Mt CO2/yr,12.2813616
Emissions|CO2|AFOLU,2010,BFA,Mt CO2/yr,11.91041824
Emissions|CO2|AFOLU,2010,BGD,Mt CO2/yr,-3.0170108800000004
Emissions|CO2|AFOLU,2010,BGR,Mt CO2/yr,0.18975856
Emissions|CO2|AFOLU,2010,BHR,Mt CO2/yr,0.00095264
Emissions|CO2|AFOLU,2010,BHS,Mt CO2/yr,0.05283488
Emissions|CO2|AFOLU,2010,BIH,Mt CO2/yr,-1.169732
Emissions|CO2|AFOLU,2010,BLR,Mt CO2/yr,9.7832464
Emissions|CO2|AFOLU,2010,BLZ,Mt CO2/yr,6.618576320000001
Emissions|CO2|AFOLU,2010,BOL,Mt CO2/yr,84.02218848
Emissions|CO2|AFOLU,2010,BRA,Mt CO2/yr,1815.89558416
Emissions|CO2|AFOLU,2010,BRB,Mt CO2/yr,0.02817616
Emissions|CO2|AFOLU,2010,BRN,Mt CO2/yr,1.2945644800000002
Emissions|CO2|AFOLU,2010,BTN,Mt CO2/yr,3.41422512
Emissions|CO2|AFOLU,2010,BWA,Mt CO2/yr,2.7587721600000004
Emissions|CO2|AFOLU,2010,CAF,Mt CO2/yr,13.03625552
Emissions|CO2|AFOLU,2010,CAN,Mt CO2/yr,56.8498912
Emissions|CO2|AFOLU,2010,CHE,Mt CO2/yr,0.41560752
Emissions|CO2|AFOLU,2010,CHL,Mt CO2/yr,14.91020832
Emissions|CO2|AFOLU,2010,CHN,Mt CO2/yr,33.13285584
Emissions|CO2|AFOLU,2010,CIV,Mt CO2/yr,56.4517976
Emissions|CO2|AFOLU,2010,CMR,Mt CO2/yr,57.36838384000001
Emissions|CO2|AFOLU,2010,COD,Mt CO2/yr,444.97880352
Emissions|CO2|AFOLU,2010,COG,Mt CO2/yr,13.27899552
Emissions|CO2|AFOLU,2010,COK,Mt CO2/yr,-0.04939072
Emissions|CO2|AFOLU,2010,COL,Mt CO2/yr,2.49569696
Emissions|CO2|AFOLU,2010,COM,Mt CO2/yr,0.01700096
Emissions|CO2|AFOLU,2010,CPV,Mt CO2/yr,0.00142896
Emissions|CO2|AFOLU,2010,CRI,Mt CO2/yr,2.02135552
Emissions|CO2|AFOLU,2010,CUB,Mt CO2/yr,0.19433856
Emissions|CO2|AFOLU,2010,CYP,Mt CO2/yr,-0.7865508800000001
Emissions|CO2|AFOLU,2010,CZE,Mt CO2/yr,-6.0358904
Emissions|CO2|AFOLU,2010,DEU,Mt CO2/yr,11.09415232
Emissions|CO2|AFOLU,2010,DJI,Mt CO2/yr,-0.08822912
Emissions|CO2|AFOLU,2010,DMA,Mt CO2/yr,0.06580544
Emissions|CO2|AFOLU,2010,DNK,Mt CO2/yr,1.78297568
Emissions|CO2|AFOLU,2010,DOM,Mt CO2/yr,-1.52268512
Emissions|CO2|AFOLU,2010,DZA,Mt CO2/yr,-4.5056208
Emissions|CO2|AFOLU,2010,ECU,Mt CO2/yr,27.645099840000004
Emissions|CO2|AFOLU,2010,EGY,Mt CO2/yr,0.7663622400000001
Emissions|CO2|AFOLU,2010,ERI,Mt CO2/yr,0.775852
Emissions|CO2|AFOLU,2010,ESP,Mt CO2/yr,-17.80103104
Emissions|CO2|AFOLU,2010,EST,Mt CO2/yr,1.18233616
Emissions|CO2|AFOLU,2010,ETH,Mt CO2/yr,67.0424064
Emissions|CO2|AFOLU,2010,FIN,Mt CO2/yr,15.1678608
Emissions|CO2|AFOLU,2010,FJI,Mt CO2/yr,-0.66468624
Emissions|CO2|AFOLU,2010,FRA,Mt CO2/yr,1.13353168
Emissions|CO2|AFOLU,2010,FSM,Mt CO2/yr,-0.00699824
Emissions|CO2|AFOLU,2010,GAB,Mt CO2/yr,4.68123632
Emissions|CO2|AFOLU,2010,GBR,Mt CO2/yr,12.99525536
Emissions|CO2|AFOLU,2010,GEO,Mt CO2/yr,-4.514964000000001
Emissions|CO2|AFOLU,2010,GHA,Mt CO2/yr,33.47785808
Emissions|CO2|AFOLU,2010,GIN,Mt CO2/yr,33.33551168
Emissions|CO2|AFOLU,2010,GMB,Mt CO2/yr,1.16621456
Emissions|CO2|AFOLU,2010,GNB,Mt CO2/yr,3.12986208
Emissions|CO2|AFOLU,2010,GNQ,Mt CO2/yr,1.89894128
Emissions|CO2|AFOLU,2010,GRC,Mt CO2/yr,-3.4507552
Emissions|CO2|AFOLU,2010,GRD,Mt CO2/yr,-0.00967296
Emissions|CO2|AFOLU,2010,GTM,Mt CO2/yr,34.67045344
Emissions|CO2|AFOLU,2010,GUY,Mt CO2/yr,2.74462912
Emissions|CO2|AFOLU,2010,HND,Mt CO2/yr,7.852611520000001
Emissions|CO2|AFOLU,2010,HRV,Mt CO2/yr,-3.95957488
Emissions|CO2|AFOLU,2010,HTI,Mt CO2/yr,8.58881904
Emissions|CO2|AFOLU,2010,HUN,Mt CO2/yr,-2.12977328
Emissions|CO2|AFOLU,2010,IDN,Mt CO2/yr,834.7545739200001
Emissions|CO2|AFOLU,2010,IND,Mt CO2/yr,63.67218592
Emissions|CO2|AFOLU,2010,IRL,Mt CO2/yr,-1.24304864
Emissions|CO2|AFOLU,2010,IRN,Mt CO2/yr,2.37364912
Emissions|CO2|AFOLU,2010,IRQ,Mt CO2/yr,0.67256384
Emissions|CO2|AFOLU,2010,ISL,Mt CO2/yr,1.34520096
Emissions|CO2|AFOLU,2010,ISR,Mt CO2/yr,-0.00326096
Emissions|CO2|AFOLU,2010,ITA,Mt CO2/yr,-6.2133012800000005
Emissions|CO2|AFOLU,2010,JAM,Mt CO2/yr,2.17546336
Emissions|CO2|AFOLU,2010,JOR,Mt CO2/yr,0.13945184
Emissions|CO2|AFOLU,2010,JPN,Mt CO2/yr,-40.86224704
Emissions|CO2|AFOLU,2010,KAZ,Mt CO2/yr,141.80830496
Emissions|CO2|AFOLU,2010,KEN,Mt CO2/yr,13.323586400000002
Emissions|CO2|AFOLU,2010,KGZ,Mt CO2/yr,7.11449872
Emissions|CO2|AFOLU,2010,KHM,Mt CO2/yr,27.20076656
Emissions|CO2|AFOLU,2010,KNA,Mt CO2/yr,-0.00864704
Emissions|CO2|AFOLU,2010,KOR,Mt CO2/yr,-9.67123792
Emissions|CO2|AFOLU,2010,KWT,Mt CO2/yr,-0.00194192
