# source: PRIMAP-2025-v2p7
# description: Data from {{source}} extrapolated to 2025. Uses HISTCR data, which is the country-reported priority scenario.
variable,year,region,unit,value
Emissions|CH4|AFOLU|Agriculture,2025,ABW,Mt CH4/yr,5.2184802e-05
Emissions|CH4|AFOLU|Agriculture,2025,AFG,Mt CH4/yr,0.62900321
Emissions|CH4|AFOLU|Agriculture,2025,AGO,Mt CH4/yr,0.6880034199999999
Emissions|CH4|AFOLU|Agriculture,2025,ALB,Mt CH4/yr,0.0489459776049999
Emissions|CH4|AFOLU|Agriculture,2025,AND,Mt CH4/yr,0.00017971082
Emissions|CH4|AFOLU|Agriculture,2025,ARE,Mt CH4/yr,0.0693965574106
Emissions|CH4|AFOLU|Agriculture,2025,ARG,Mt CH4/yr,2.749991712
Emissions|CH4|AFOLU|Agriculture,2025,ARM,Mt CH4/yr,0.04207617287
Emissions|CH4|AFOLU|Agriculture,2025,ATG,Mt CH4/yr,0.00040442645
Emissions|CH4|AFOLU|Agriculture,2025,AUS,Mt CH4/yr,2.381454751
Emissions|CH4|AFOLU|Agriculture,2025,AUT,Mt CH4/yr,0.1817856199999999
Emissions|CH4|AFOLU|Agriculture,2025,AZE,Mt CH4/yr,0.1999741136999999
Emissions|CH4|AFOLU|Agriculture,2025,BDI,Mt CH4/yr,0.0591165713
Emissions|CH4|AFOLU|Agriculture,2025,BEL,Mt CH4/yr,0.2028907
Emissions|CH4|AFOLU|Agriculture,2025,BEN,Mt CH4/yr,0.136086506
Emissions|CH4|AFOLU|Agriculture,2025,BFA,Mt CH4/yr,0.5045332559
Emissions|CH4|AFOLU|Agriculture,2025,BGD,Mt CH4/yr,1.87674533
Emissions|CH4|AFOLU|Agriculture,2025,BGR,Mt CH4/yr,0.0753015039
Emissions|CH4|AFOLU|Agriculture,2025,BHR,Mt CH4/yr,0.0009702406553455
Emissions|CH4|AFOLU|Agriculture,2025,BHS,Mt CH4/yr,8.0221226e-05
Emissions|CH4|AFOLU|Agriculture,2025,BIH,Mt CH4/yr,0.0331127888499999
Emissions|CH4|AFOLU|Agriculture,2025,BLR,Mt CH4/yr,0.35521912
Emissions|CH4|AFOLU|Agriculture,2025,BLZ,Mt CH4/yr,0.0064667776399999
Emissions|CH4|AFOLU|Agriculture,2025,BOL,Mt CH4/yr,0.831152848
Emissions|CH4|AFOLU|Agriculture,2025,BRA,Mt CH4/yr,15.66725304
Emissions|CH4|AFOLU|Agriculture,2025,BRB,Mt CH4/yr,0.0006422093832
Emissions|CH4|AFOLU|Agriculture,2025,BRN,Mt CH4/yr,0.00053094485
Emissions|CH4|AFOLU|Agriculture,2025,BTN,Mt CH4/yr,0.01402702316
Emissions|CH4|AFOLU|Agriculture,2025,BWA,Mt CH4/yr,0.234897469
Emissions|CH4|AFOLU|Agriculture,2025,CAF,Mt CH4/yr,0.4292428399999999
Emissions|CH4|AFOLU|Agriculture,2025,CAN,Mt CH4/yr,1.1001712589
Emissions|CH4|AFOLU|Agriculture,2025,CHE,Mt CH4/yr,0.15020507
Emissions|CH4|AFOLU|Agriculture,2025,CHL,Mt CH4/yr,0.203695477
Emissions|CH4|AFOLU|Agriculture,2025,CHN,Mt CH4/yr,24.1390801
Emissions|CH4|AFOLU|Agriculture,2025,CIV,Mt CH4/yr,0.178402276
Emissions|CH4|AFOLU|Agriculture,2025,CMR,Mt CH4/yr,0.3008766439999999
Emissions|CH4|AFOLU|Agriculture,2025,COD,Mt CH4/yr,1.529155989
Emissions|CH4|AFOLU|Agriculture,2025,COG,Mt CH4/yr,0.059318202
Emissions|CH4|AFOLU|Agriculture,2025,COK,Mt CH4/yr,0.000362925538035
Emissions|CH4|AFOLU|Agriculture,2025,COL,Mt CH4/yr,1.7009456870000002
Emissions|CH4|AFOLU|Agriculture,2025,COM,Mt CH4/yr,0.002669038818
Emissions|CH4|AFOLU|Agriculture,2025,CPV,Mt CH4/yr,0.002771817383
Emissions|CH4|AFOLU|Agriculture,2025,CRI,Mt CH4/yr,0.106310083
Emissions|CH4|AFOLU|Agriculture,2025,CUB,Mt CH4/yr,0.2588110405
Emissions|CH4|AFOLU|Agriculture,2025,CYP,Mt CH4/yr,0.014701131888
Emissions|CH4|AFOLU|Agriculture,2025,CZE,Mt CH4/yr,0.14171984
Emissions|CH4|AFOLU|Agriculture,2025,DEU,Mt CH4/yr,1.215715946
Emissions|CH4|AFOLU|Agriculture,2025,DJI,Mt CH4/yr,0.010910562
Emissions|CH4|AFOLU|Agriculture,2025,DMA,Mt CH4/yr,0.00097048857409
Emissions|CH4|AFOLU|Agriculture,2025,DNK,Mt CH4/yr,0.25501390315
Emissions|CH4|AFOLU|Agriculture,2025,DOM,Mt CH4/yr,0.2171917219999999
Emissions|CH4|AFOLU|Agriculture,2025,DZA,Mt CH4/yr,0.2541908397
Emissions|CH4|AFOLU|Agriculture,2025,ECU,Mt CH4/yr,0.318498411
Emissions|CH4|AFOLU|Agriculture,2025,EGY,Mt CH4/yr,0.5333283799999999
Emissions|CH4|AFOLU|Agriculture,2025,ERI,Mt CH4/yr,0.14941424021
Emissions|CH4|AFOLU|Agriculture,2025,ESP,Mt CH4/yr,0.9085832690000002
Emissions|CH4|AFOLU|Agriculture,2025,EST,Mt CH4/yr,0.027654634
Emissions|CH4|AFOLU|Agriculture,2025,ETH,Mt CH4/yr,2.760197867
Emissions|CH4|AFOLU|Agriculture,2025,FIN,Mt CH4/yr,0.093774427
Emissions|CH4|AFOLU|Agriculture,2025,FJI,Mt CH4/yr,0.00661962028
Emissions|CH4|AFOLU|Agriculture,2025,FRA,Mt CH4/yr,1.5474468475000005
Emissions|CH4|AFOLU|Agriculture,2025,FSM,Mt CH4/yr,0.0019926370039999
Emissions|CH4|AFOLU|Agriculture,2025,GAB,Mt CH4/yr,0.0179333512
Emissions|CH4|AFOLU|Agriculture,2025,GBR,Mt CH4/yr,0.9743323541
Emissions|CH4|AFOLU|Agriculture,2025,GEO,Mt CH4/yr,0.063301610053
Emissions|CH4|AFOLU|Agriculture,2025,GHA,Mt CH4/yr,0.194611815
Emissions|CH4|AFOLU|Agriculture,2025,GIN,Mt CH4/yr,0.3671363123
Emissions|CH4|AFOLU|Agriculture,2025,GMB,Mt CH4/yr,0.0266437859999999
Emissions|CH4|AFOLU|Agriculture,2025,GNB,Mt CH4/yr,0.0175446413
Emissions|CH4|AFOLU|Agriculture,2025,GNQ,Mt CH4/yr,0.00047590961
Emissions|CH4|AFOLU|Agriculture,2025,GRC,Mt CH4/yr,0.1776921551999999
Emissions|CH4|AFOLU|Agriculture,2025,GRD,Mt CH4/yr,0.00052744953611
Emissions|CH4|AFOLU|Agriculture,2025,GTM,Mt CH4/yr,0.1898390435
Emissions|CH4|AFOLU|Agriculture,2025,GUY,Mt CH4/yr,0.050086293
Emissions|CH4|AFOLU|Agriculture,2025,HKG,Mt CH4/yr,0.0005631178
Emissions|CH4|AFOLU|Agriculture,2025,HND,Mt CH4/yr,0.1039768725
