# source: PRIMAP-2025-v2p7
# description: Data from {{source}} extrapolated to 2025. Uses HISTTP data, which is the third-party priority scenario.
variable,year,region,unit,value
Emissions|CH4|AFOLU|Agriculture,2025,ABW,Mt CH4/yr,5.2184802e-05
Emissions|CH4|AFOLU|Agriculture,2025,AFG,Mt CH4/yr,0.444602307
Emissions|CH4|AFOLU|Agriculture,2025,AGO,Mt CH4/yr,0.6880034199999999
Emissions|CH4|AFOLU|Agriculture,2025,ALB,Mt CH4/yr,0.05258345294
Emissions|CH4|AFOLU|Agriculture,2025,AND,Mt CH4/yr,0.0018642336162999
Emissions|CH4|AFOLU|Agriculture,2025,ARE,Mt CH4/yr,0.0570019514106
Emissions|CH4|AFOLU|Agriculture,2025,ARG,Mt CH4/yr,3.35489575
Emissions|CH4|AFOLU|Agriculture,2025,ARM,Mt CH4/yr,0.02647574591
Emissions|CH4|AFOLU|Agriculture,2025,ATG,Mt CH4/yr,0.00038940056
Emissions|CH4|AFOLU|Agriculture,2025,AUS,Mt CH4/yr,2.8609247700000004
Emissions|CH4|AFOLU|Agriculture,2025,AUT,Mt CH4/yr,0.18743955136
Emissions|CH4|AFOLU|Agriculture,2025,AZE,Mt CH4/yr,0.1496075397
Emissions|CH4|AFOLU|Agriculture,2025,BDI,Mt CH4/yr,0.0621510835
Emissions|CH4|AFOLU|Agriculture,2025,BEL,Mt CH4/yr,0.23649624612
Emissions|CH4|AFOLU|Agriculture,2025,BEN,Mt CH4/yr,0.136086506
Emissions|CH4|AFOLU|Agriculture,2025,BFA,Mt CH4/yr,0.607991697
Emissions|CH4|AFOLU|Agriculture,2025,BGD,Mt CH4/yr,2.6385528
Emissions|CH4|AFOLU|Agriculture,2025,BGR,Mt CH4/yr,0.0697164652
Emissions|CH4|AFOLU|Agriculture,2025,BHR,Mt CH4/yr,0.0009702406553455
Emissions|CH4|AFOLU|Agriculture,2025,BHS,Mt CH4/yr,0.00026321435
Emissions|CH4|AFOLU|Agriculture,2025,BIH,Mt CH4/yr,0.04773816085
Emissions|CH4|AFOLU|Agriculture,2025,BLR,Mt CH4/yr,0.3593296931999999
Emissions|CH4|AFOLU|Agriculture,2025,BLZ,Mt CH4/yr,0.0067319409299999
Emissions|CH4|AFOLU|Agriculture,2025,BOL,Mt CH4/yr,0.873442741
Emissions|CH4|AFOLU|Agriculture,2025,BRA,Mt CH4/yr,14.38707371
Emissions|CH4|AFOLU|Agriculture,2025,BRB,Mt CH4/yr,0.0011089808831999
Emissions|CH4|AFOLU|Agriculture,2025,BRN,Mt CH4/yr,0.0008323318000000001
Emissions|CH4|AFOLU|Agriculture,2025,BTN,Mt CH4/yr,0.01422299775
Emissions|CH4|AFOLU|Agriculture,2025,BWA,Mt CH4/yr,0.218588082
Emissions|CH4|AFOLU|Agriculture,2025,CAF,Mt CH4/yr,0.4292428399999999
Emissions|CH4|AFOLU|Agriculture,2025,CAN,Mt CH4/yr,0.9463531599999998
Emissions|CH4|AFOLU|Agriculture,2025,CHE,Mt CH4/yr,0.15249112844
Emissions|CH4|AFOLU|Agriculture,2025,CHL,Mt CH4/yr,0.2084219203
Emissions|CH4|AFOLU|Agriculture,2025,CHN,Mt CH4/yr,13.321181400000002
Emissions|CH4|AFOLU|Agriculture,2025,CIV,Mt CH4/yr,0.143101807
Emissions|CH4|AFOLU|Agriculture,2025,CMR,Mt CH4/yr,0.3008766439999999
Emissions|CH4|AFOLU|Agriculture,2025,COD,Mt CH4/yr,0.585107532
Emissions|CH4|AFOLU|Agriculture,2025,COG,Mt CH4/yr,0.059318202
Emissions|CH4|AFOLU|Agriculture,2025,COK,Mt CH4/yr,0.000362925538035
Emissions|CH4|AFOLU|Agriculture,2025,COL,Mt CH4/yr,2.0186533
Emissions|CH4|AFOLU|Agriculture,2025,COM,Mt CH4/yr,0.002669038818
Emissions|CH4|AFOLU|Agriculture,2025,CPV,Mt CH4/yr,0.0023251999829999
Emissions|CH4|AFOLU|Agriculture,2025,CRI,Mt CH4/yr,0.11404559339
Emissions|CH4|AFOLU|Agriculture,2025,CUB,Mt CH4/yr,0.251185494
Emissions|CH4|AFOLU|Agriculture,2025,CYP,Mt CH4/yr,0.007941743579
Emissions|CH4|AFOLU|Agriculture,2025,CZE,Mt CH4/yr,0.1170866641999999
Emissions|CH4|AFOLU|Agriculture,2025,DEU,Mt CH4/yr,1.1844510119
Emissions|CH4|AFOLU|Agriculture,2025,DJI,Mt CH4/yr,0.018664884
Emissions|CH4|AFOLU|Agriculture,2025,DMA,Mt CH4/yr,0.00102748752409
Emissions|CH4|AFOLU|Agriculture,2025,DNK,Mt CH4/yr,0.2293129518299999
Emissions|CH4|AFOLU|Agriculture,2025,DOM,Mt CH4/yr,0.2584296869999999
Emissions|CH4|AFOLU|Agriculture,2025,DZA,Mt CH4/yr,0.2889289381
Emissions|CH4|AFOLU|Agriculture,2025,ECU,Mt CH4/yr,0.312874533
Emissions|CH4|AFOLU|Agriculture,2025,EGY,Mt CH4/yr,0.4165183899999999
Emissions|CH4|AFOLU|Agriculture,2025,ERI,Mt CH4/yr,0.1222675102099999
Emissions|CH4|AFOLU|Agriculture,2025,ESP,Mt CH4/yr,0.968160276
Emissions|CH4|AFOLU|Agriculture,2025,EST,Mt CH4/yr,0.0250238198999999
Emissions|CH4|AFOLU|Agriculture,2025,ETH,Mt CH4/yr,3.113913958
Emissions|CH4|AFOLU|Agriculture,2025,FIN,Mt CH4/yr,0.08162536653
Emissions|CH4|AFOLU|Agriculture,2025,FJI,Mt CH4/yr,0.0117573315999999
Emissions|CH4|AFOLU|Agriculture,2025,FRA,Mt CH4/yr,1.52306694
Emissions|CH4|AFOLU|Agriculture,2025,FSM,Mt CH4/yr,0.0019926370039999
Emissions|CH4|AFOLU|Agriculture,2025,GAB,Mt CH4/yr,0.0095886898
