# source: PRIMAP-2025-v2p7
# description: Based on {{source}}. Uses HISTTP data, which is the third-party priority scenario.
variable,year,region,unit,value
Emissions|CH4|AFOLU|Agriculture,2010,ABW,Mt CH4/yr,5.1280866e-05
Emissions|CH4|AFOLU|Agriculture,2010,AFG,Mt CH4/yr,0.4605556
Emissions|CH4|AFOLU|Agriculture,2010,AGO,Mt CH4/yr,0.6939583999999999
Emissions|CH4|AFOLU|Agriculture,2010,ALB,Mt CH4/yr,0.0817598
Emissions|CH4|AFOLU|Agriculture,2010,AND,Mt CH4/yr,0.0022315787753
Emissions|CH4|AFOLU|Agriculture,2010,ARE,Mt CH4/yr,0.0384747999999999
Emissions|CH4|AFOLU|Agriculture,2010,ARG,Mt CH4/yr,3.1058341999999994
Emissions|CH4|AFOLU|Agriculture,2010,ARM,Mt CH4/yr,0.0264963999999999
Emissions|CH4|AFOLU|Agriculture,2010,ATG,Mt CH4/yr,0.0006007
Emissions|CH4|AFOLU|Agriculture,2010,AUS,Mt CH4/yr,2.7314392999999995
Emissions|CH4|AFOLU|Agriculture,2010,AUT,Mt CH4/yr,0.1991417
Emissions|CH4|AFOLU|Agriculture,2010,AZE,Mt CH4/yr,0.1581315999999999
Emissions|CH4|AFOLU|Agriculture,2010,BDI,Mt CH4/yr,0.0364406
Emissions|CH4|AFOLU|Agriculture,2010,BEL,Mt CH4/yr,0.2558121
Emissions|CH4|AFOLU|Agriculture,2010,BEN,Mt CH4/yr,0.1014364
Emissions|CH4|AFOLU|Agriculture,2010,BFA,Mt CH4/yr,0.4803126
Emissions|CH4|AFOLU|Agriculture,2010,BGD,Mt CH4/yr,2.4699501
Emissions|CH4|AFOLU|Agriculture,2010,BGR,Mt CH4/yr,0.0755772999999999
Emissions|CH4|AFOLU|Agriculture,2010,BHR,Mt CH4/yr,0.000795511137195
Emissions|CH4|AFOLU|Agriculture,2010,BHS,Mt CH4/yr,0.0002826
Emissions|CH4|AFOLU|Agriculture,2010,BIH,Mt CH4/yr,0.0654449
Emissions|CH4|AFOLU|Agriculture,2010,BLR,Mt CH4/yr,0.3601358
Emissions|CH4|AFOLU|Agriculture,2010,BLZ,Mt CH4/yr,0.0061299
Emissions|CH4|AFOLU|Agriculture,2010,BOL,Mt CH4/yr,0.7294023
Emissions|CH4|AFOLU|Agriculture,2010,BRA,Mt CH4/yr,13.4196782
Emissions|CH4|AFOLU|Agriculture,2010,BRB,Mt CH4/yr,0.0010019
Emissions|CH4|AFOLU|Agriculture,2010,BRN,Mt CH4/yr,0.0009305
Emissions|CH4|AFOLU|Agriculture,2010,BTN,Mt CH4/yr,0.0167470999999999
Emissions|CH4|AFOLU|Agriculture,2010,BWA,Mt CH4/yr,0.3793372
Emissions|CH4|AFOLU|Agriculture,2010,CAF,Mt CH4/yr,0.3937436000000001
Emissions|CH4|AFOLU|Agriculture,2010,CAN,Mt CH4/yr,1.0098121000000002
Emissions|CH4|AFOLU|Agriculture,2010,CHE,Mt CH4/yr,0.1634617
Emissions|CH4|AFOLU|Agriculture,2010,CHL,Mt CH4/yr,0.267296
Emissions|CH4|AFOLU|Agriculture,2010,CHN,Mt CH4/yr,13.8813413
Emissions|CH4|AFOLU|Agriculture,2010,CIV,Mt CH4/yr,0.1195715
Emissions|CH4|AFOLU|Agriculture,2010,CMR,Mt CH4/yr,0.2710649999999999
Emissions|CH4|AFOLU|Agriculture,2010,COD,Mt CH4/yr,0.5355884999999999
Emissions|CH4|AFOLU|Agriculture,2010,COG,Mt CH4/yr,0.0571101
Emissions|CH4|AFOLU|Agriculture,2010,COK,Mt CH4/yr,0.00050785541051
Emissions|CH4|AFOLU|Agriculture,2010,COL,Mt CH4/yr,1.8493793
Emissions|CH4|AFOLU|Agriculture,2010,COM,Mt CH4/yr,0.0025757
Emissions|CH4|AFOLU|Agriculture,2010,CPV,Mt CH4/yr,0.0022528
Emissions|CH4|AFOLU|Agriculture,2010,CRI,Mt CH4/yr,0.0924503999999999
Emissions|CH4|AFOLU|Agriculture,2010,CUB,Mt CH4/yr,0.3196585
Emissions|CH4|AFOLU|Agriculture,2010,CYP,Mt CH4/yr,0.0073472
Emissions|CH4|AFOLU|Agriculture,2010,CZE,Mt CH4/yr,0.1179040999999999
Emissions|CH4|AFOLU|Agriculture,2010,DEU,Mt CH4/yr,1.3681552
Emissions|CH4|AFOLU|Agriculture,2010,DJI,Mt CH4/yr,0.0184689
Emissions|CH4|AFOLU|Agriculture,2010,DMA,Mt CH4/yr,0.0009997
Emissions|CH4|AFOLU|Agriculture,2010,DNK,Mt CH4/yr,0.2494091999999999
Emissions|CH4|AFOLU|Agriculture,2010,DOM,Mt CH4/yr,0.2382083
Emissions|CH4|AFOLU|Agriculture,2010,DZA,Mt CH4/yr,0.2328682999999999
Emissions|CH4|AFOLU|Agriculture,2010,ECU,Mt CH4/yr,0.4230099
Emissions|CH4|AFOLU|Agriculture,2010,EGY,Mt CH4/yr,0.5952501999999998
Emissions|CH4|AFOLU|Agriculture,2010,ERI,Mt CH4/yr,0.1101801
Emissions|CH4|AFOLU|Agriculture,2010,ESP,Mt CH4/yr,0.9454996
Emissions|CH4|AFOLU|Agriculture,2010,EST,Mt CH4/yr,0.0258991999999999
Emissions|CH4|AFOLU|Agriculture,2010,ETH,Mt CH4/yr,2.3617428
Emissions|CH4|AFOLU|Agriculture,2010,FIN,Mt CH4/yr,0.0941742
Emissions|CH4|AFOLU|Agriculture,2010,FJI,Mt CH4/yr,0.0262916
Emissions|CH4|AFOLU|Agriculture,2010,FRA,Mt CH4/yr,1.7639999000000002
Emissions|CH4|AFOLU|Agriculture,2010,FSM,Mt CH4/yr,0.0016377
Emissions|CH4|AFOLU|Agriculture,2010,GAB,Mt CH4/yr,0.0075767999999999
