# source: Qin-2024
# description: Data from {{source}} extrapolated to 2025.
variable,year,region,unit,value
Emissions|CO2|AFOLU,2025,AFG,Mt CO2/yr,2.2150712
Emissions|CO2|AFOLU,2025,AGO,Mt CO2/yr,27.70867024
Emissions|CO2|AFOLU,2025,ALB,Mt CO2/yr,-0.9768224
Emissions|CO2|AFOLU,2025,AND,Mt CO2/yr,-0.0071448
Emissions|CO2|AFOLU,2025,ARE,Mt CO2/yr,-0.05924688
Emissions|CO2|AFOLU,2025,ARG,Mt CO2/yr,116.10842272
Emissions|CO2|AFOLU,2025,ARM,Mt CO2/yr,0.38457344
Emissions|CO2|AFOLU,2025,ATG,Mt CO2/yr,-3.664e-05
Emissions|CO2|AFOLU,2025,AUS,Mt CO2/yr,37.05678
Emissions|CO2|AFOLU,2025,AUT,Mt CO2/yr,1.30453056
Emissions|CO2|AFOLU,2025,AZE,Mt CO2/yr,2.6358816000000003
Emissions|CO2|AFOLU,2025,BDI,Mt CO2/yr,0.72499568
Emissions|CO2|AFOLU,2025,BEL,Mt CO2/yr,0.1999811199999999
Emissions|CO2|AFOLU,2025,BEN,Mt CO2/yr,16.13402096
Emissions|CO2|AFOLU,2025,BFA,Mt CO2/yr,19.65256016
Emissions|CO2|AFOLU,2025,BGD,Mt CO2/yr,-9.94984848
Emissions|CO2|AFOLU,2025,BGR,Mt CO2/yr,-2.12064992
Emissions|CO2|AFOLU,2025,BHS,Mt CO2/yr,-3.664e-05
Emissions|CO2|AFOLU,2025,BIH,Mt CO2/yr,0.43825104
Emissions|CO2|AFOLU,2025,BLR,Mt CO2/yr,7.83264272
Emissions|CO2|AFOLU,2025,BLZ,Mt CO2/yr,4.694390080000001
Emissions|CO2|AFOLU,2025,BOL,Mt CO2/yr,72.36491600000001
Emissions|CO2|AFOLU,2025,BRA,Mt CO2/yr,1518.81029344
Emissions|CO2|AFOLU,2025,BRB,Mt CO2/yr,-7.328e-05
Emissions|CO2|AFOLU,2025,BRN,Mt CO2/yr,0.9458616
Emissions|CO2|AFOLU,2025,BTN,Mt CO2/yr,8.88223216
Emissions|CO2|AFOLU,2025,BWA,Mt CO2/yr,-0.4730956800000001
Emissions|CO2|AFOLU,2025,CAF,Mt CO2/yr,48.76853616
Emissions|CO2|AFOLU,2025,CAN,Mt CO2/yr,166.69902944
Emissions|CO2|AFOLU,2025,CHE,Mt CO2/yr,-0.24354608
Emissions|CO2|AFOLU,2025,CHL,Mt CO2/yr,-0.14080752
Emissions|CO2|AFOLU,2025,CHN,Mt CO2/yr,-34.24187536
Emissions|CO2|AFOLU,2025,CIV,Mt CO2/yr,48.22230704
Emissions|CO2|AFOLU,2025,CMR,Mt CO2/yr,23.08217408
Emissions|CO2|AFOLU,2025,COD,Mt CO2/yr,584.16573632
Emissions|CO2|AFOLU,2025,COG,Mt CO2/yr,19.30766784
Emissions|CO2|AFOLU,2025,COL,Mt CO2/yr,45.643473920000005
Emissions|CO2|AFOLU,2025,CRI,Mt CO2/yr,2.89441344
Emissions|CO2|AFOLU,2025,CUB,Mt CO2/yr,0.16051984
Emissions|CO2|AFOLU,2025,CYP,Mt CO2/yr,-0.06452304
Emissions|CO2|AFOLU,2025,CZE,Mt CO2/yr,-25.88436464
Emissions|CO2|AFOLU,2025,DEU,Mt CO2/yr,-4.46249552
Emissions|CO2|AFOLU,2025,DJI,Mt CO2/yr,0.02315648
Emissions|CO2|AFOLU,2025,DMA,Mt CO2/yr,-0.00084272
Emissions|CO2|AFOLU,2025,DNK,Mt CO2/yr,4.5538024
Emissions|CO2|AFOLU,2025,DOM,Mt CO2/yr,-0.43726176
Emissions|CO2|AFOLU,2025,DZA,Mt CO2/yr,0.9592352
